city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
10,amreli,2023-07-01,29,27,80,8,24
10,amreli,2023-07-02,30,27,76,7,19
10,amreli,2023-07-03,34,26,85,5,23
10,amreli,2023-07-04,32,23,88,9,23
10,amreli,2023-07-05,32,27,87,9,23
10,amreli,2023-07-06,26,25,84,5,20
10,amreli,2023-07-07,31,25,77,4,20
10,amreli,2023-07-08,32,27,82,6,17
10,amreli,2023-07-09,27,27,76,8,18
10,amreli,2023-07-10,33,24,74,3,19
10,amreli,2023-07-11,32,24,75,9,16
10,amreli,2023-07-12,29,24,88,8,24
10,amreli,2023-07-13,29,26,80,5,23
10,amreli,2023-07-14,26,23,74,8,18
10,amreli,2023-07-15,32,26,86,4,19
10,amreli,2023-07-16,27,27,77,6,21
10,amreli,2023-07-17,31,23,74,9,16
10,amreli,2023-07-18,26,23,79,7,22
10,amreli,2023-07-19,29,23,76,2,16
10,amreli,2023-07-20,26,23,83,9,21
10,amreli,2023-07-21,34,27,80,4,16
10,amreli,2023-07-22,30,24,77,2,19
10,amreli,2023-07-23,30,25,75,5,23
10,amreli,2023-07-24,34,25,76,2,24
10,amreli,2023-07-25,27,25,74,8,23
10,amreli,2023-07-26,32,26,75,5,21
10,amreli,2023-07-27,34,26,85,2,21
10,amreli,2023-07-28,33,24,87,7,21
10,amreli,2023-07-29,31,23,87,6,17
10,amreli,2023-07-30,27,25,81,2,21
10,amreli,2023-07-31,31,23,74,3,18
