city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
7,anand,2023-07-01,34,25,77,4,13
7,anand,2023-07-02,37,25,88,3,18
7,anand,2023-07-03,31,24,86,3,19
7,anand,2023-07-04,35,28,87,1,13
7,anand,2023-07-05,35,28,92,1,15
7,anand,2023-07-06,36,25,89,2,16
7,anand,2023-07-07,34,23,85,5,17
7,anand,2023-07-08,29,22,80,2,20
7,anand,2023-07-09,33,23,78,2,15
7,anand,2023-07-10,37,25,81,8,20
7,anand,2023-07-11,34,26,79,6,19
7,anand,2023-07-12,31,27,74,2,14
7,anand,2023-07-13,29,26,80,4,20
7,anand,2023-07-14,35,25,93,4,12
7,anand,2023-07-15,37,25,76,4,15
7,anand,2023-07-16,32,26,79,5,16
7,anand,2023-07-17,36,22,82,8,16
7,anand,2023-07-18,36,25,88,4,17
7,anand,2023-07-19,36,28,89,4,13
7,anand,2023-07-20,36,22,79,1,18
7,anand,2023-07-21,37,28,79,6,19
7,anand,2023-07-22,37,26,76,6,19
7,anand,2023-07-23,34,24,89,7,16
7,anand,2023-07-24,34,22,89,4,14
7,anand,2023-07-25,36,25,77,3,18
7,anand,2023-07-26,37,27,86,5,19
7,anand,2023-07-27,36,28,80,2,19
7,anand,2023-07-28,31,28,76,6,16
7,anand,2023-07-29,32,26,74,7,17
7,anand,2023-07-30,35,23,77,1,14
7,anand,2023-07-31,32,22,86,3,19
