city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
4,gandhinagar,2023-07-01,31,29,91,4,18
4,gandhinagar,2023-07-02,32,23,82,4,12
4,gandhinagar,2023-07-03,30,25,86,9,15
4,gandhinagar,2023-07-04,35,26,73,4,15
4,gandhinagar,2023-07-05,31,23,80,4,15
4,gandhinagar,2023-07-06,36,28,91,7,12
4,gandhinagar,2023-07-07,33,28,80,6,16
4,gandhinagar,2023-07-08,35,27,82,4,14
4,gandhinagar,2023-07-09,33,27,86,5,14
4,gandhinagar,2023-07-10,35,28,83,8,19
4,gandhinagar,2023-07-11,36,23,91,7,13
4,gandhinagar,2023-07-12,30,27,84,6,14
4,gandhinagar,2023-07-13,36,28,79,9,16
4,gandhinagar,2023-07-14,36,25,93,9,17
4,gandhinagar,2023-07-15,32,26,82,8,15
4,gandhinagar,2023-07-16,34,24,88,9,16
4,gandhinagar,2023-07-17,32,23,78,6,19
4,gandhinagar,2023-07-18,36,29,74,5,16
4,gandhinagar,2023-07-19,30,27,75,5,13
4,gandhinagar,2023-07-20,36,25,89,5,17
4,gandhinagar,2023-07-21,31,26,78,9,16
4,gandhinagar,2023-07-22,30,27,91,5,18
4,gandhinagar,2023-07-23,34,27,82,6,14
4,gandhinagar,2023-07-24,33,27,80,6,14
4,gandhinagar,2023-07-25,32,24,93,8,14
4,gandhinagar,2023-07-26,35,29,89,5,17
4,gandhinagar,2023-07-27,32,28,92,4,19
4,gandhinagar,2023-07-28,31,26,80,4,14
4,gandhinagar,2023-07-29,36,25,81,9,14
4,gandhinagar,2023-07-30,30,25,74,9,17
4,gandhinagar,2023-07-31,36,24,92,8,18
