city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
5,jamnagar,2023-07-01,37,26,87,6,32
5,jamnagar,2023-07-02,36,24,74,5,27
5,jamnagar,2023-07-03,35,28,74,9,28
5,jamnagar,2023-07-04,31,25,82,8,26
5,jamnagar,2023-07-05,36,26,84,8,35
5,jamnagar,2023-07-06,36,23,75,5,21
5,jamnagar,2023-07-07,33,27,79,5,32
5,jamnagar,2023-07-08,32,28,82,5,34
5,jamnagar,2023-07-09,34,23,74,5,35
5,jamnagar,2023-07-10,29,23,81,7,22
5,jamnagar,2023-07-11,34,27,77,6,25
5,jamnagar,2023-07-12,33,26,82,6,22
5,jamnagar,2023-07-13,31,29,85,8,33
5,jamnagar,2023-07-14,34,23,83,4,28
5,jamnagar,2023-07-15,29,29,80,7,30
5,jamnagar,2023-07-16,36,25,78,9,26
5,jamnagar,2023-07-17,31,29,82,9,28
5,jamnagar,2023-07-18,29,26,77,5,32
5,jamnagar,2023-07-19,34,26,87,4,21
5,jamnagar,2023-07-20,38,23,83,5,24
5,jamnagar,2023-07-21,37,24,82,8,25
5,jamnagar,2023-07-22,38,28,88,7,27
5,jamnagar,2023-07-23,31,25,77,6,21
5,jamnagar,2023-07-24,32,23,76,5,25
5,jamnagar,2023-07-25,37,29,87,7,26
5,jamnagar,2023-07-26,35,24,77,6,32
5,jamnagar,2023-07-27,35,24,80,4,34
5,jamnagar,2023-07-28,33,28,76,8,25
5,jamnagar,2023-07-29,31,25,86,7,35
5,jamnagar,2023-07-30,36,27,84,5,27
5,jamnagar,2023-07-31,30,23,79,4,29
