city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
3,Vadodara,2023-07-01,36,24,69,2,17
3,Vadodara,2023-07-02,33,26,83,4,21
3,Vadodara,2023-07-03,26,25,78,1,18
3,Vadodara,2023-07-04,30,24,90,3,23
3,Vadodara,2023-07-05,37,25,73,3,25
3,Vadodara,2023-07-06,35,26,77,2,23
3,Vadodara,2023-07-07,35,25,89,3,22
3,Vadodara,2023-07-08,29,25,87,1,24
3,Vadodara,2023-07-09,28,24,74,4,19
3,Vadodara,2023-07-10,34,25,71,5,22
3,Vadodara,2023-07-11,35,24,83,2,19
3,Vadodara,2023-07-12,29,24,92,6,22
3,Vadodara,2023-07-13,35,24,79,2,20
3,Vadodara,2023-07-14,36,25,92,2,20
3,Vadodara,2023-07-15,34,24,92,9,24
3,Vadodara,2023-07-16,28,24,77,8,17
3,Vadodara,2023-07-17,37,26,90,9,22
3,Vadodara,2023-07-18,33,24,82,5,22
3,Vadodara,2023-07-19,33,25,82,2,21
3,Vadodara,2023-07-20,26,25,75,4,20
3,Vadodara,2023-07-21,27,24,88,9,20
3,Vadodara,2023-07-22,31,26,69,9,19
3,Vadodara,2023-07-23,32,25,78,1,23
3,Vadodara,2023-07-24,28,24,69,8,17
3,Vadodara,2023-07-25,28,24,68,1,20
3,Vadodara,2023-07-26,37,26,71,4,20
3,Vadodara,2023-07-27,36,25,89,1,22
3,Vadodara,2023-07-28,26,25,70,4,18
3,Vadodara,2023-07-29,26,25,78,2,18
3,Vadodara,2023-07-30,27,26,75,4,20
3,Vadodara,2023-07-31,28,26,79,9,22
